Match ID,Player Name,Mins Played,Position,Discipline,Start,Appearance,Country,Year
R1-MAJ-OLY,Brennan,15,,,No,Yes,MajuraRes,2026
R1-MAJ-OLY,Checksfield,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Dumesic,24,,,No,Yes,MajuraRes,2026
R1-MAJ-OLY,Imhoff,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,K.Hazilias,45,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,McKay,45,,,No,Yes,MajuraRes,2026
R1-MAJ-OLY,McNamara,13,,,No,Yes,MajuraRes,2026
R1-MAJ-OLY,Pucci,77,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Senese,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Stannard,66,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Thompson,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Trim,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,V.Singers,90,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Williamson,75,,,Yes,Yes,MajuraRes,2026
R1-MAJ-OLY,Bissell,26,,,No,Yes,OlympicRes,2026
R1-MAJ-OLY,Bongiorno,54,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,N.Cerne,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,D.Williams,36,,,No,Yes,OlympicRes,2026
R1-MAJ-OLY,Dy-Mortimer,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Farrell,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Hall,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Hurman,54,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Mantinaos,22,,,No,Yes,OlympicRes,2026
R1-MAJ-OLY,Martiniello,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,McRae,36,,,No,Yes,OlympicRes,2026
R1-MAJ-OLY,Ness,68,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Pirotta,90,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Richards,64,,,Yes,Yes,OlympicRes,2026
R1-MAJ-OLY,Wright,90,,,Yes,Yes,OlympicRes,2026
R1-TUG-CFC,A.Williams,90,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,Coates,20,,,No,Yes,CroatiaRes,2026
R1-TUG-CFC,Dubbert,90,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,E.Hazilias,65,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,Hill,25,,,No,Yes,CroatiaRes,2026
R1-TUG-CFC,Hofmeier,45,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,Holaj,20,,,No,Yes,CroatiaRes,2026
R1-TUG-CFC,Majetic,90,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,McGhie,90,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,McLennan,20,,,No,Yes,CroatiaRes,2026
R1-TUG-CFC,Milin,70,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,Robertson,90,,,Yes,Yes,CroatiaRes,2026
R1-TUG-CFC,Sanders,90,,,Yes,Yes,CroatiaRes,2026
